Date,NASDQUE,DJIA
2013-06-06,4967.140137,15040.62012
2013-06-07,4979.899902,15248.12012
2013-06-10,5008.100098,15238.58984
2013-06-11,4963.529785,15122.01953
2013-06-12,4987.890137,14995.23047
2013-06-13,4967.140137,15176.08008
2013-06-14,4968.120117,15070.17969
2013-06-17,4960.970215,15179.84961
2013-06-18,4955.970215,15318.23047
2013-06-19,4924.700195,15112.19043
2013-06-20,4906.359863,14758.32031
2013-06-21,4899.27002,14799.40039
2013-06-24,4893.839844,14659.55957
2013-06-25,4857.609863,14760.30957
2013-06-26,4801.180176,14910.13965
2013-06-27,4787.640137,15024.49023
2013-06-28,4726.009766,14909.59961
2013-07-01,4744.399902,14974.95996
2013-07-02,4765.100098,14932.41016
2013-07-03,4716.700195,14988.37012
2013-07-05,4727.740234,15135.83984
2013-07-08,4676.689941,15224.69043
2013-07-09,4635.240234,15300.33984
2013-07-10,4683.410156,15291.66016
2013-07-11,4637.990234,15460.91992
2013-07-12,4681.5,15464.29981
2013-07-15,4771.759766,15484.25977
2013-07-16,4757.879883,15451.84961
2013-07-17,4750.399902,15470.51953
2013-07-18,4667.419922,15548.54004
2013-07-19,4654.850098,15543.74023
2013-07-22,4634.379883,15545.54981
2013-07-23,4570.819824,15567.74023
2013-07-24,4639.319824,15542.24023
2013-07-25,4661.5,15555.61035
2013-07-26,4664.709961,15558.83008
2013-07-29,4704.069824,15521.96973
2013-07-30,4736.189941,15520.58984
2013-07-31,4650.470215,15499.54004
2013-08-01,4592.740234,15628.01953
2013-08-02,4652.569824,15658.36035
2013-08-05,4726.810059,15612.12988
2013-08-06,4736.049805,15518.74023
2013-08-07,4777.439941,15470.66992
2013-08-08,4806.910156,15498.32031
2013-08-09,4806.859863,15425.50977
2013-08-12,4773.470215,15419.67969
2013-08-13,4765.419922,15451.00977
2013-08-14,4781.419922,15337.66016
2013-08-15,4765.379883,15112.19043
2013-08-16,4748.399902,15081.46973
2013-08-19,4644.310059,15010.74023
2013-08-20,4547.830078,15002.99023
2013-08-21,4605.160156,14897.54981
2013-08-22,4653.600098,14963.74023
2013-08-23,4708.160156,15010.50977
2013-08-26,4684.02002,14946.45996
2013-08-27,4766.470215,14776.12988
2013-08-28,4740.689941,14824.50977
2013-08-29,4780.759766,14840.9502
2013-08-30,4769.439941,14810.30957
2013-09-03,4774.470215,14833.95996
2013-09-04,4755.810059,14930.87012
2013-09-05,4727.350098,14937.48047
2013-09-06,4791.629883,14922.5
2013-09-09,4787.319824,15063.12012
2013-09-10,4758.25,15191.05957
2013-09-11,4754.890137,15326.59961
2013-09-12,4712.970215,15300.63965
2013-09-13,4701.870117,15376.05957
2013-09-16,4675.709961,15494.78027
2013-09-17,4702.439941,15529.73047
2013-09-18,4671,15676.94043
2013-09-19,4688.540039,15636.54981
2013-09-20,4680.140137,15451.08984
2013-09-23,4675.140137,15401.37988
2013-09-24,4660.560059,15334.58984
2013-09-25,4651.620117,15273.25977
2013-09-26,4632.529785,15328.29981
2013-09-27,4638.470215,15258.24023
